INFO:root:Episode: 280, length: 242, reward: -190.88, ewma reward: -227.35, val loss: 68.86, act loss: -97.77
INFO:root:Episode: 300, length: 174, reward: -142.22, ewma reward: -187.72, val loss: 97.74, act loss: -115.45
INFO:root:Episode: 320, length: 283, reward: -67.18, ewma reward: -182.17, val loss: 106.29, act loss: -130.61
INFO:root:Episode: 340, length: 1000, reward: -40.31, ewma reward: -104.32, val loss: 105.11, act loss: -176.06
INFO:root:Episode: 360, length: 1000, reward: -92.00, ewma reward: -129.07, val loss: 110.47, act loss: -192.54
INFO:root:Episode: 380, length: 260, reward: -170.16, ewma reward: -139.44, val loss: 86.01, act loss: -192.44
INFO:root:Episode: 400, length: 398, reward: -87.40, ewma reward: -130.01, val loss: 83.53, act loss: -188.32
INFO:root:Episode: 420, length: 296, reward: -194.62, ewma reward: -133.53, val loss: 85.67, act loss: -196.45
INFO:root:Episode: 440, length: 1000, reward: -112.81, ewma reward: -98.83, val loss: 78.64, act loss: -211.43
INFO:root:Episode: 460, length: 1000, reward: -50.42, ewma reward: -108.28, val loss: 74.67, act loss: -211.89
